"ID","group","task","time","key_id_task","result_correct"
1,"Intervention","task_1",313,"1_task_1",0
1,"Intervention","task_2",78,"1_task_2",0
1,"Intervention","task_3",103,"1_task_3",1
1,"Intervention","task_4",69,"1_task_4",1
1,"Intervention","task_5",215,"1_task_5",1
1,"Intervention","task_6",168,"1_task_6",1
2,"Intervention","task_1",107,"2_task_1",1
2,"Intervention","task_2",175,"2_task_2",1
2,"Intervention","task_3",30,"2_task_3",1
2,"Intervention","task_4",54,"2_task_4",1
2,"Intervention","task_5",87,"2_task_5",1
2,"Intervention","task_6",387,"2_task_6",1
3,"Intervention","task_1",105,"3_task_1",0
3,"Intervention","task_2",99,"3_task_2",1
3,"Intervention","task_3",86,"3_task_3",1
3,"Intervention","task_4",146,"3_task_4",0
3,"Intervention","task_5",221,"3_task_5",1
3,"Intervention","task_6",146,"3_task_6",0
4,"Intervention","task_1",83,"4_task_1",1
4,"Intervention","task_2",91,"4_task_2",1
4,"Intervention","task_3",43,"4_task_3",1
4,"Intervention","task_4",50,"4_task_4",1
4,"Intervention","task_5",113,"4_task_5",1
4,"Intervention","task_6",198,"4_task_6",1
5,"Intervention","task_1",183,"5_task_1",1
5,"Intervention","task_2",160,"5_task_2",1
5,"Intervention","task_3",27,"5_task_3",1
5,"Intervention","task_4",68,"5_task_4",1
5,"Intervention","task_5",79,"5_task_5",1
5,"Intervention","task_6",180,"5_task_6",0
6,"Intervention","task_1",148,"6_task_1",1
6,"Intervention","task_2",122,"6_task_2",1
6,"Intervention","task_3",115,"6_task_3",1
6,"Intervention","task_4",79,"6_task_4",1
6,"Intervention","task_5",312,"6_task_5",0
6,"Intervention","task_6",207,"6_task_6",1
7,"Intervention","task_1",279,"7_task_1",1
7,"Intervention","task_2",144,"7_task_2",0
7,"Intervention","task_3",53,"7_task_3",1
7,"Intervention","task_4",58,"7_task_4",1
7,"Intervention","task_5",163,"7_task_5",1
7,"Intervention","task_6",384,"7_task_6",0
8,"Intervention","task_1",519,"8_task_1",1
8,"Intervention","task_2",70,"8_task_2",0
8,"Intervention","task_3",80,"8_task_3",1
8,"Intervention","task_4",91,"8_task_4",1
8,"Intervention","task_5",165,"8_task_5",0
8,"Intervention","task_6",510,"8_task_6",1
9,"Intervention","task_1",98,"9_task_1",0
9,"Intervention","task_2",444,"9_task_2",0
9,"Intervention","task_3",35,"9_task_3",1
9,"Intervention","task_4",269,"9_task_4",1
9,"Intervention","task_5",150,"9_task_5",1
9,"Intervention","task_6",265,"9_task_6",1
10,"Intervention","task_1",131,"10_task_1",1
10,"Intervention","task_2",40,"10_task_2",1
10,"Intervention","task_3",12,"10_task_3",1
10,"Intervention","task_4",48,"10_task_4",1
10,"Intervention","task_5",357,"10_task_5",1
10,"Intervention","task_6",134,"10_task_6",1
11,"Intervention","task_1",276,"11_task_1",1
11,"Intervention","task_2",66,"11_task_2",1
11,"Intervention","task_3",65,"11_task_3",0
11,"Intervention","task_4",130,"11_task_4",1
11,"Intervention","task_5",171,"11_task_5",1
11,"Intervention","task_6",157,"11_task_6",0
12,"Intervention","task_1",88,"12_task_1",1
12,"Intervention","task_2",48,"12_task_2",0
12,"Intervention","task_3",15,"12_task_3",1
12,"Intervention","task_4",60,"12_task_4",1
12,"Intervention","task_5",130,"12_task_5",1
12,"Intervention","task_6",124,"12_task_6",1
13,"Intervention","task_1",163,"13_task_1",1
13,"Intervention","task_2",194,"13_task_2",1
13,"Intervention","task_3",66,"13_task_3",1
13,"Intervention","task_4",87,"13_task_4",1
13,"Intervention","task_5",178,"13_task_5",1
13,"Intervention","task_6",226,"13_task_6",1
14,"Intervention","task_1",126,"14_task_1",1
14,"Intervention","task_2",77,"14_task_2",1
14,"Intervention","task_3",47,"14_task_3",1
14,"Intervention","task_4",79,"14_task_4",1
14,"Intervention","task_5",88,"14_task_5",1
14,"Intervention","task_6",183,"14_task_6",1
15,"Control","task_1",232,"15_task_1",0
15,"Control","task_2",255,"15_task_2",0
15,"Control","task_3",33,"15_task_3",0
15,"Control","task_4",330,"15_task_4",0
15,"Control","task_5",341,"15_task_5",1
15,"Control","task_6",26,"15_task_6",0
16,"Control","task_1",845,"16_task_1",0
16,"Control","task_2",267,"16_task_2",0
16,"Control","task_3",230,"16_task_3",1
16,"Control","task_4",677,"16_task_4",0
16,"Control","task_5",360,"16_task_5",1
16,"Control","task_6",398,"16_task_6",0
17,"Control","task_1",697,"17_task_1",0
17,"Control","task_2",391,"17_task_2",0
17,"Control","task_3",155,"17_task_3",1
17,"Control","task_4",265,"17_task_4",0
17,"Control","task_5",165,"17_task_5",0
17,"Control","task_6",189,"17_task_6",0
18,"Control","task_1",790,"18_task_1",0
18,"Control","task_2",358,"18_task_2",0
18,"Control","task_3",71,"18_task_3",1
18,"Control","task_4",886,"18_task_4",1
18,"Control","task_5",533,"18_task_5",1
18,"Control","task_6",309,"18_task_6",0
19,"Control","task_1",152,"19_task_1",0
19,"Control","task_2",54,"19_task_2",0
19,"Control","task_3",20,"19_task_3",1
19,"Control","task_4",531,"19_task_4",0
19,"Control","task_5",102,"19_task_5",1
19,"Control","task_6",56,"19_task_6",0
20,"Control","task_1",470,"20_task_1",0
20,"Control","task_2",209,"20_task_2",0
20,"Control","task_3",133,"20_task_3",1
20,"Control","task_4",279,"20_task_4",0
20,"Control","task_5",342,"20_task_5",1
20,"Control","task_6",864,"20_task_6",0
21,"Control","task_1",226,"21_task_1",1
21,"Control","task_2",131,"21_task_2",0
21,"Control","task_3",124,"21_task_3",1
21,"Control","task_4",278,"21_task_4",1
21,"Control","task_5",135,"21_task_5",0
21,"Control","task_6",282,"21_task_6",0
22,"Control","task_1",75,"22_task_1",0
22,"Control","task_2",209,"22_task_2",0
22,"Control","task_3",54,"22_task_3",1
22,"Control","task_4",588,"22_task_4",0
22,"Control","task_5",82,"22_task_5",1
22,"Control","task_6",144,"22_task_6",1
23,"Control","task_1",274,"23_task_1",1
23,"Control","task_2",217,"23_task_2",0
23,"Control","task_3",129,"23_task_3",1
23,"Control","task_4",217,"23_task_4",1
23,"Control","task_5",332,"23_task_5",1
23,"Control","task_6",389,"23_task_6",0
24,"Control","task_1",955,"24_task_1",1
24,"Control","task_2",727,"24_task_2",0
24,"Control","task_3",199,"24_task_3",1
24,"Control","task_4",450,"24_task_4",0
24,"Control","task_5",253,"24_task_5",0
24,"Control","task_6",223,"24_task_6",0
25,"Control","task_1",172,"25_task_1",1
25,"Control","task_2",606,"25_task_2",0
25,"Control","task_3",210,"25_task_3",1
25,"Control","task_4",282,"25_task_4",0
25,"Control","task_5",242,"25_task_5",0
25,"Control","task_6",492,"25_task_6",0
26,"Control","task_1",430,"26_task_1",0
26,"Control","task_2",201,"26_task_2",0
26,"Control","task_3",100,"26_task_3",1
26,"Control","task_4",339,"26_task_4",0
26,"Control","task_5",432,"26_task_5",0
26,"Control","task_6",884,"26_task_6",0
